,ID_interwencji,PESEL_przestępcy
1,0,72061603298
2,0,28090749959
3,1,29101626137
4,1,48050369777
5,1,72012351515
6,1,45122563338
7,1,66111216460
8,1,50012534040
9,2,45021496843
10,2,32060588295
11,2,46031647964
12,2,45100129273
13,2,55081580860
14,2,70013045121
15,3,98070150020
16,3,55081580860
17,3,30103106895
18,3,98071440379
19,4,48050369777
20,4,62071603924
21,4,45021496843
22,4,69012856270
23,4,75120122879
24,4,81120473754
25,4,72061603298
26,5,98030107110
27,6,87042360545
28,6,64020440837
29,6,98070150020
30,7,28090749959
31,7,96020492774
32,7,41091149481
33,7,31100976380
34,7,94020484090
35,7,66111216460
36,8,71061915266
37,8,41012596888
38,8,97120333206
39,9,45122563338
40,9,222211455
41,9,78072782443
42,9,44090488225
43,9,98053186969
44,10,81091126150
45,10,95050293937
46,10,81071229769
47,10,55081580860
48,11,31100976380
49,11,66052061886
50,11,78072782443
51,11,81120473754
52,11,34052048138
53,11,34092769428
54,11,45100129273
56,11,67011475229
57,12,261564640
58,12,81091126150
59,12,65052167318
60,12,99120232042
61,12,37120733781
62,12,85031319842
63,13,80122947403
64,14,99120232042
65,14,31100976380
66,15,87042360545
67,15,91061177589
68,16,1292378055
69,16,45122563338
70,16,75071277648
71,16,41091149481
72,16,44082102399
73,16,62012032060
74,16,93101549987
75,16,78072782443
76,17,85031319842
77,17,84103099068
78,17,45122563338
79,17,34052048138
80,17,72061603298
81,18,37093091581
82,18,94020484090
83,18,65052167318
84,18,99120232042
85,18,40092712090
86,19,95030812376
87,19,78060267172
88,19,41012596888
89,19,48050369777
90,19,80122947403
91,19,40092712090
92,19,4232082834
93,19,94042966039
94,19,72012351515
95,20,85062033324
96,20,2292097605
97,20,95050293937
98,20,25052118400
99,20,86110443568
100,20,96020492774
101,21,50050229160
102,21,81071229769
103,21,41012596888
104,21,94013113208
105,21,261564640
106,21,97120333206
107,21,72012351515
108,21,40122264807
109,21,98030107110
110,22,1292378055
111,22,95030812376
112,22,41011437526
113,22,45021496843
114,23,93101549987
115,23,39091789727
116,23,35082682693
117,23,44090488225
118,23,34092769428
119,24,72012351515
120,24,65021400800
121,25,63050312839
122,25,25120435598
123,25,2292097605
124,25,45100129273
125,25,98030107110
126,26,95050293937
127,26,1292378055
128,26,61062171622
129,26,61051788525
130,27,31100976380
131,27,89081149826
132,27,27102274052
133,27,50012534040
134,27,65052167318
135,27,69012856270
136,27,41012596888
137,27,39091789727
138,28,71102908668
139,28,75120122879
140,28,66052061886
141,28,99062691565
142,28,50012534040
143,29,62050199679
144,29,66101044332
145,29,41012596888
147,29,73072722211
148,29,28090749959
149,29,82102437704
150,29,62100898071
151,29,30103106895
152,30,31100976380
153,31,98030107110
154,31,66111216460
155,31,99120232042
156,31,82061107081
157,31,4232082834
158,31,41012596888
159,32,27102274052
160,32,86110443568
161,32,51072060401
162,32,58062267684
163,32,1292378055
164,32,41091149481
165,32,87042360545
166,32,37093091581
167,33,85062033324
168,34,75120122879
169,34,94042966039
170,34,5310303061
171,34,78060267172
172,34,41012596888
173,34,28090749959
174,35,40040155649
175,36,64020440837
176,36,25052118400
177,36,83012312688
178,37,81071229769
179,37,28090749959
180,37,64020440837
181,37,98053186969
182,37,31032476819
183,37,39091789727
184,37,58062267684
185,38,30103106895
186,38,99120232042
187,38,36091971309
188,38,34052048138
189,38,72012351515
190,38,75071277648
191,38,81091126150
192,38,98053186969
193,38,63050312839
194,39,45021496843
195,40,94013113208
196,40,29101626137
197,40,45021496843
198,41,31032476819
199,41,5310303061
201,41,46052749124
202,41,48050369777
203,42,34092769428
204,43,99062691565
205,43,66052061886
206,43,89081149826
207,43,28090749959
208,43,70013045121
209,43,62012032060
210,44,50012534040
211,44,78072782443
212,44,73072722211
213,45,40122264807
214,45,71061915266
215,45,72061603298
