,ID_interwencji,PESEL_policjanta
1,0,78083133157
2,0,57010167403
3,0,36022315671
4,0,44050714517
5,0,54100369035
6,1,68052249107
7,1,64041432097
8,1,71033050852
9,2,35012171017
10,2,27112491739
11,2,64061807840
12,2,39060508535
13,3,64121748340
14,3,27012016975
15,3,30070877893
16,4,25122635682
17,4,31012537691
18,4,28061839539
19,4,40122876040
20,4,45093054938
21,4,92101959943
22,5,73042146315
23,5,41073195624
24,5,41112889233
25,5,38013142255
26,5,65111530419
27,5,49072804684
28,5,29070107828
29,5,56010157939
30,6,33022221450
31,6,97020545424
32,6,47072460419
33,7,78083133157
34,7,69111805971
35,7,57010167403
36,7,55031216890
37,7,36022315671
38,7,54100369035
39,8,49072804684
40,8,41112889233
41,8,56010157939
42,8,77032737619
43,8,38013142255
44,8,29070107828
45,8,73042146315
46,8,65111530419
47,8,41073195624
48,9,31012537691
49,9,92101959943
50,9,67122077592
51,9,37052614237
52,9,25122635682
53,10,23113079970
54,10,73051128030
55,11,58072070137
56,11,52011812185
57,11,43111397814
58,11,31110797919
59,11,56082064661
60,12,50052464534
61,12,64061807840
62,12,35012171017
63,12,27112491739
64,12,31101689254
65,12,31050466599
66,12,39060508535
67,12,65022567887
68,13,27071958405
69,13,52011812185
70,13,35051424974
71,13,58072070137
72,13,40100449824
73,13,74102949440
74,13,66021939336
75,13,43111397814
76,13,41072699587
77,13,31110797919
78,13,56082064661
79,14,32071349993
80,14,33022221450
81,14,28112778844
82,14,97020545424
83,15,72103053128
84,15,73051128030
85,15,23113079970
86,15,58012240792
87,16,65111530419
88,16,38013142255
89,16,56010157939
90,16,41073195624
91,16,77032737619
92,16,41112889233
93,16,49072804684
94,16,73042146315
95,17,36022315671
96,17,28110936273
97,17,55031216890
98,17,69111805971
99,18,74102949440
100,19,72103053128
101,19,73051128030
102,19,67071618828
103,19,42020665571
104,19,35053081092
105,19,58031326600
106,20,65022567887
107,20,39060508535
108,20,27112491739
109,21,35012171017
110,21,78052116565
111,21,65022567887
112,21,39060508535
113,21,50052464534
114,21,31050466599
115,21,64061807840
116,22,66021939336
117,22,35051424974
118,22,40100449824
119,23,70061795306
120,23,64121748340
121,23,74101474242
122,23,45100973216
123,23,30070877893
124,23,60111928721
